id,title,title_he,description,description_he,image_url,start_date,end_date,price,single_supplement_price,max_capacity,spots_left,status,difficulty_level,country_id,guide_id,trip_type_id
197,Discover United States,ארצות הברית: מסע בלתי נשכח,Explore the wonders of United States. An unforgettable journey awaits.,"מסע אל הטבע הצפון-אמריקאי: בין יערות ירוקים, אגמים צלולים והרים מושלגים.",,2026-12-20,2027-01-13,11890.00,2567.39,12,0,Full,3,80,21,6
198,Discover Scandinavia,סקנדינביה: טבע ותרבות,Explore the wonders of Scandinavia. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-06-02,2026-06-24,7870.00,1193.99,30,22,Open,2,68,24,6
199,Discover Morocco,מרוקו המרתקת,Explore the wonders of Morocco. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-04-21,2026-05-15,12780.00,2239.59,18,8,Last Places,1,20,8,6
200,Discover Ghana,הקסם של גאנה,Explore the wonders of Ghana. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2026-12-29,2027-01-05,2640.00,420.68,20,12,Open,2,29,10,6
201,Discover Cambodia,הקסם של קמבודיה,Explore the wonders of Cambodia. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2027-03-21,2027-04-08,8780.00,1813.82,30,3,Last Places,3,11,16,6
202,Discover Malta,מלטה: טבע ותרבות,Explore the wonders of Malta. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-02-05,2026-02-12,7740.00,1857.07,24,21,Open,1,61,9,6
203,Discover Croatia,פלאי קרואטיה,Explore the wonders of Croatia. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2027-02-02,2027-03-01,10150.00,2465.31,18,5,Open,1,76,5,6
204,Discover Azerbaijan,הרפתקה באזרבייג'ן,Explore the wonders of Azerbaijan. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2026-03-25,2026-04-24,3600.00,720.29,18,1,Last Places,1,97,24,6
205,Discover Russia,חוויה של פעם בחיים ברוסיה,Explore the wonders of Russia. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-11-23,2026-12-17,10120.00,2498.55,18,0,Full,3,78,25,6
206,Discover Poland,חוויה של פעם בחיים בפולין,Explore the wonders of Poland. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-08-22,2026-09-01,13990.00,3022.78,12,12,Open,3,71,13,6
207,Discover Morocco,מסע אל מעמקי מרוקו,Explore the wonders of Morocco. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2027-01-12,2027-02-11,14980.00,2478.11,20,10,Last Places,1,20,13,6
208,Discover United Arab Emirates,איחוד האמירויות: מסע בלתי נשכח,Explore the wonders of United Arab Emirates. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-03-06,2026-03-15,3780.00,637.83,20,17,Open,3,98,9,6
209,Discover Laos,הרפתקה בלאוס,Explore the wonders of Laos. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-10-23,2026-10-30,14220.00,2983.42,18,12,Guaranteed,2,12,12,6
210,Discover Greenland,חוויה של פעם בחיים בגרינלנד,Explore the wonders of Greenland. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-11-01,2026-11-22,5470.00,1195.37,15,4,Last Places,2,116,8,6
211,Discover Uganda,אוגנדה – מסע חלומות,Explore the wonders of Uganda. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2026-06-03,2026-06-21,8130.00,1613.18,12,5,Last Places,1,22,14,6
212,Discover Philippines,פיליפינים המרתקת,Explore the wonders of Philippines. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-06-17,2026-06-22,10100.00,1850.54,24,12,Last Places,2,14,5,6
213,Discover Italy,חוויה של פעם בחיים באיטליה,Explore the wonders of Italy. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2027-05-13,2027-06-09,6110.00,1209.17,15,12,Open,2,42,20,6
214,Discover Austria,אוסטריה: טבע ותרבות,Explore the wonders of Austria. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2027-03-07,2027-04-06,10040.00,1872.48,24,6,Open,3,49,9,6
215,Discover Tunisia,אוצרות תוניסיה,Explore the wonders of Tunisia. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2027-03-14,2027-04-10,3410.00,790.77,30,25,Open,2,32,10,7
216,Discover Kyrgyzstan,פלאי קירגיזסטן,Explore the wonders of Kyrgyzstan. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-12-16,2026-12-25,10660.00,2440.16,12,7,Open,2,108,9,7
217,Discover Jordan,אוצרות ירדן,Explore the wonders of Jordan. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2027-01-07,2027-02-06,12990.00,2719.87,12,1,Last Places,1,103,12,7
218,Discover Israel,מסע אל מעמקי ישראל,Explore the wonders of Israel. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-12-25,2027-01-19,10180.00,2511.21,18,13,Guaranteed,1,104,21,7
219,Discover Bolivia,פלאי בוליביה,Explore the wonders of Bolivia. An unforgettable journey awaits.,טרק מרגש בין פסגות האנדים המושלגות ושרידי תרבות האינקה העתיקה.,,2026-11-06,2026-12-03,13780.00,2371.58,18,12,Last Places,3,90,18,7
220,Discover Tunisia,חוויה של פעם בחיים בתוניסיה,Explore the wonders of Tunisia. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-06-13,2026-07-01,3750.00,606.03,25,4,Last Places,2,32,4,7
221,Discover Tunisia,הקסם של תוניסיה,Explore the wonders of Tunisia. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2026-09-13,2026-09-21,10970.00,2437.53,20,10,Guaranteed,2,32,12,7
222,Discover Mongolia,מונגוליה: מסע בלתי נשכח,Explore the wonders of Mongolia. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2026-03-09,2026-04-04,5360.00,1302.44,25,7,Open,1,15,21,7
223,Discover Tunisia,הרפתקה בתוניסיה,Explore the wonders of Tunisia. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2027-02-25,2027-03-14,14890.00,2508.15,25,21,Open,2,32,8,7
224,Discover Oman,פלאי עומאן,Explore the wonders of Oman. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2027-01-08,2027-01-19,6210.00,1104.35,25,25,Open,1,106,1,7
225,Discover Kyrgyzstan,פלאי קירגיזסטן,Explore the wonders of Kyrgyzstan. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-03-12,2026-03-25,12020.00,2437.31,25,10,Open,2,108,15,7
226,Discover Tunisia,תוניסיה: טבע ותרבות,Explore the wonders of Tunisia. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-04-11,2026-05-07,8090.00,1956.71,24,2,Last Places,3,32,20,7
227,Discover Georgia,פלאי גיאורגיה,Explore the wonders of Georgia. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-04-16,2026-05-02,4890.00,983.29,20,19,Open,1,55,4,7
228,Discover Bolivia,בוליביה המרתקת,Explore the wonders of Bolivia. An unforgettable journey awaits.,"מסע אל לב יער הגשם האמזוני, בין עצים עתיקים וחיות בר נדירות.",,2027-04-28,2027-05-23,5540.00,1138.42,20,9,Guaranteed,1,90,23,7
229,Discover Tunisia,הרפתקה בתוניסיה,Explore the wonders of Tunisia. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2026-04-22,2026-05-09,13500.00,2707.34,20,13,Open,2,32,5,7
230,Discover Morocco,מרוקו: טבע ותרבות,Explore the wonders of Morocco. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-01-28,2026-02-27,6510.00,1166.65,18,7,Open,2,20,19,7
231,Discover Israel,ישראל – מסע חלומות,Explore the wonders of Israel. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-05-30,2026-06-28,13120.00,3048.15,18,17,Open,1,104,4,7
232,Discover Kyrgyzstan,סיור מעמיק בקירגיזסטן,Explore the wonders of Kyrgyzstan. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2027-04-05,2027-04-11,11210.00,1976.12,30,26,Open,1,108,10,7
233,Discover Israel,גלה את ישראל,Explore the wonders of Israel. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2026-07-11,2026-08-07,14490.00,3090.38,15,4,Last Places,1,104,23,7
234,Discover Bolivia,מסע אל מעמקי בוליביה,Explore the wonders of Bolivia. An unforgettable journey awaits.,"הרפתקה של פעם בחיים ביבשת הססגונית – טבע פראי, תרבויות מרתקות וערים תוססות.",,2026-06-27,2026-07-24,7990.00,1429.68,18,16,Open,3,90,6,7
235,Discover Namibia,סיור מעמיק בנמיביה,Explore the wonders of Namibia. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2027-04-01,2027-04-10,7110.00,1170.48,18,7,Open,2,25,23,7
236,Discover Oman,סיור מעמיק בעומאן,Explore the wonders of Oman. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-02-20,2026-03-17,3900.00,742.11,25,8,Open,2,106,15,7
237,Discover Morocco,הרפתקה במרוקו,Explore the wonders of Morocco. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2027-05-25,2027-06-13,15000.00,3246.22,18,2,Last Places,3,20,24,7
238,Discover Georgia,אוצרות גיאורגיה,Explore the wonders of Georgia. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2027-03-13,2027-03-27,8910.00,1824.15,15,15,Open,2,55,11,7
239,Discover Tunisia,אוצרות תוניסיה,Explore the wonders of Tunisia. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-03-17,2026-03-27,11030.00,2158.04,20,6,Open,1,32,1,7
240,Discover Morocco,אוצרות מרוקו,Explore the wonders of Morocco. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-07-16,2026-07-29,3680.00,688.84,25,5,Guaranteed,2,20,21,7
241,Discover Morocco,הקסם של מרוקו,Explore the wonders of Morocco. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2026-05-02,2026-05-22,3590.00,586.14,15,14,Open,1,20,1,7
242,Discover Namibia,נמיביה המרתקת,Explore the wonders of Namibia. An unforgettable journey awaits.,"חוויה אפריקאית אמיתית: בין סוואנות אינסופיות, חיות בר מרהיבות ותרבויות שבטיות עתיקות.",,2026-02-18,2026-03-02,9840.00,1563.90,30,3,Last Places,1,25,16,7
243,Discover Namibia,אוצרות נמיביה,Explore the wonders of Namibia. An unforgettable journey awaits.,"מסע אל הלב הפועם של היבשת הפראית. ספארי מרהיב, שקיעות אדומות ועולם חי עשיר.",,2027-06-05,2027-07-01,4920.00,771.66,24,0,Full,3,25,21,7
244,Discover Kyrgyzstan,קירגיזסטן: טבע ותרבות,Explore the wonders of Kyrgyzstan. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2027-01-31,2027-02-09,10430.00,2207.07,20,6,Guaranteed,1,108,21,7
245,Discover Mongolia,חוויה של פעם בחיים במונגוליה,Explore the wonders of Mongolia. An unforgettable journey awaits.,גלו את קסמה של תרבות עתיקה ששרדה אלפי שנים. בין מקדשים מפוארים וטבע בראשיתי.,,2026-05-19,2026-06-01,3720.00,650.32,24,19,Open,3,15,5,7
246,Discover Kyrgyzstan,סיור מעמיק בקירגיזסטן,Explore the wonders of Kyrgyzstan. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-11-19,2026-12-10,5860.00,1317.24,18,1,Last Places,1,108,17,7
247,Discover Tunisia,הרפתקה בתוניסיה,Explore the wonders of Tunisia. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2026-11-13,2026-11-20,12810.00,3059.96,12,5,Last Places,1,32,21,7
248,Discover Lapland,גלה את לפלנד,Explore the wonders of Lapland. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-09-11,2026-10-10,3490.00,529.32,12,0,Full,2,120,25,8
249,Discover Greenland,גרינלנד: מסע בלתי נשכח,Explore the wonders of Greenland. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-11-30,2026-12-27,12260.00,2779.48,20,12,Guaranteed,3,116,10,8
250,Discover Norway,אוצרות נורבגיה,Explore the wonders of Norway. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-10-01,2026-10-12,5180.00,1054.85,20,18,Open,3,63,3,8
251,Discover Canada,פלאי קנדה,Explore the wonders of Canada. An unforgettable journey awaits.,"טרופי קריבי: חופים לבנים, מים טורקיז ושונית אלמוגים צבעונית.",,2027-05-16,2027-05-28,3180.00,554.74,20,3,Last Places,2,87,24,8
252,Discover Russia,הקסם של רוסיה,Explore the wonders of Russia. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-12-15,2027-01-12,5590.00,905.27,25,4,Last Places,3,78,24,8
253,Discover Lapland,לפלנד המרתקת,Explore the wonders of Lapland. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-03-18,2026-04-15,7500.00,1674.70,12,12,Open,1,120,12,8
254,Discover Norway,הקסם של נורבגיה,Explore the wonders of Norway. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2027-05-27,2027-06-19,14850.00,2341.95,20,16,Open,2,63,23,8
255,Discover Norway,הקסם של נורבגיה,Explore the wonders of Norway. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-03-06,2026-03-29,4360.00,753.58,24,0,Full,1,63,25,8
256,Discover Norway,נורבגיה – מסע חלומות,Explore the wonders of Norway. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2027-04-29,2027-05-08,5660.00,1376.04,30,1,Last Places,3,63,13,8
257,Discover Lapland,לפלנד: מסע בלתי נשכח,Explore the wonders of Lapland. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2027-04-26,2027-05-24,8550.00,1514.43,12,9,Last Places,1,120,14,8
258,Discover Lapland,מסע אל מעמקי לפלנד,Explore the wonders of Lapland. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2027-05-30,2027-06-05,10210.00,1601.87,20,9,Last Places,2,120,17,8
259,Discover Lapland,פלאי לפלנד,Explore the wonders of Lapland. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-10-28,2026-11-27,8220.00,1840.93,15,14,Open,2,120,10,8
260,Discover Antarctica,הקסם של אנטארקטיקה,Explore the wonders of Antarctica. An unforgettable journey awaits.,חוויה קוטבית אמיתית ביבשת הלבנה: שדות קרח אינסופיים והרי קרח מרהיבים.,,2026-03-31,2026-04-05,10390.00,1583.34,24,11,Open,3,95,8,8
261,Discover Canada,הקסם של קנדה,Explore the wonders of Canada. An unforgettable journey awaits.,"גלו את יופי המערב הפראי: קניונים אדומים, נופים אינסופיים ופארקים לאומיים מרהיבים.",,2027-01-20,2027-02-03,4120.00,702.54,15,13,Open,2,87,24,8
262,Discover Lapland,מסע אל מעמקי לפלנד,Explore the wonders of Lapland. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-08-12,2026-09-08,9620.00,1884.04,25,2,Last Places,3,120,17,8
263,Discover Iceland,איסלנד המרתקת,Explore the wonders of Iceland. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-10-30,2026-11-05,10900.00,2357.06,15,7,Last Places,2,44,19,8
264,Discover Norway,מסע אל מעמקי נורבגיה,Explore the wonders of Norway. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-02-20,2026-03-03,4780.00,1089.81,24,3,Last Places,1,63,8,8
265,Discover Canada,קנדה: טבע ותרבות,Explore the wonders of Canada. An unforgettable journey awaits.,"טרופי קריבי: חופים לבנים, מים טורקיז ושונית אלמוגים צבעונית.",,2026-10-14,2026-10-30,6250.00,1219.95,20,8,Guaranteed,1,87,4,8
266,Discover Lapland,אוצרות לפלנד,Explore the wonders of Lapland. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-03-29,2026-04-05,7080.00,1747.63,20,16,Open,1,120,11,8
267,Discover Canada,מסע אל מעמקי קנדה,Explore the wonders of Canada. An unforgettable journey awaits.,"גלו את יופי המערב הפראי: קניונים אדומים, נופים אינסופיים ופארקים לאומיים מרהיבים.",,2026-10-24,2026-11-21,13260.00,2320.30,20,3,Last Places,1,87,15,8
268,Discover Lapland,פלאי לפלנד,Explore the wonders of Lapland. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2027-03-10,2027-03-27,9620.00,2103.21,25,2,Last Places,3,120,7,8
269,Discover Iceland,מסע אל מעמקי איסלנד,Explore the wonders of Iceland. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2027-04-20,2027-05-15,11080.00,2558.70,12,12,Open,2,44,7,8
270,Discover Greenland,גלה את גרינלנד,Explore the wonders of Greenland. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2027-03-09,2027-04-06,10080.00,2012.10,20,13,Guaranteed,2,116,14,8
271,Discover Lapland,לפלנד: מסע בלתי נשכח,Explore the wonders of Lapland. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-11-23,2026-12-17,14630.00,2554.08,18,15,Open,2,120,2,8
272,Discover Norway,נורבגיה: מסע בלתי נשכח,Explore the wonders of Norway. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-03-24,2026-04-11,6080.00,1302.73,30,16,Guaranteed,3,63,13,8
273,Discover Greenland,פלאי גרינלנד,Explore the wonders of Greenland. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-07-08,2026-07-31,12280.00,2236.93,18,5,Guaranteed,2,116,16,8
274,Discover Iceland,אוצרות איסלנד,Explore the wonders of Iceland. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-10-11,2026-10-27,13960.00,3489.45,15,3,Last Places,1,44,16,8
275,Discover Antarctica,אנטארקטיקה: טבע ותרבות,Explore the wonders of Antarctica. An unforgettable journey awaits.,"מסע אל הקוטב הנצחי – קרחונים כחולים מרהיבים, פינגווינים באלפים וטבע קפוא בראשיתי.",,2026-11-03,2026-12-03,9950.00,1845.53,30,27,Open,1,95,8,8
276,Discover Russia,חוויה של פעם בחיים ברוסיה,Explore the wonders of Russia. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-07-12,2026-08-04,13540.00,2223.41,15,15,Open,3,78,23,8
277,Discover Iceland,איסלנד: טבע ותרבות,Explore the wonders of Iceland. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-11-17,2026-11-29,2400.00,486.35,12,5,Open,1,44,8,8
278,Discover Iceland,איסלנד המרתקת,Explore the wonders of Iceland. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-11-09,2026-12-06,4900.00,1114.44,30,16,Last Places,1,44,5,8
279,Discover Norway,נורבגיה: טבע ותרבות,Explore the wonders of Norway. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-03-23,2026-04-02,10940.00,2507.28,20,20,Open,2,63,11,8
280,Discover Russia,רוסיה – מסע חלומות,Explore the wonders of Russia. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2027-03-06,2027-03-16,9740.00,1759.85,25,9,Guaranteed,1,78,19,8
281,Discover Iceland,איסלנד: טבע ותרבות,Explore the wonders of Iceland. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-11-17,2026-12-02,14520.00,2498.74,24,3,Last Places,2,44,6,8
282,Discover Norway,מסע אל מעמקי נורבגיה,Explore the wonders of Norway. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-12-04,2026-12-11,8870.00,1726.66,18,6,Guaranteed,3,63,6,8
283,Discover Iceland,איסלנד: מסע בלתי נשכח,Explore the wonders of Iceland. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-08-25,2026-09-22,10590.00,2614.78,20,15,Last Places,2,44,13,8
284,Discover Antarctica,חוויה של פעם בחיים באנטארקטיקה,Explore the wonders of Antarctica. An unforgettable journey awaits.,"מסע אל הקוטב הנצחי – קרחונים כחולים מרהיבים, פינגווינים באלפים וטבע קפוא בראשיתי.",,2026-12-12,2027-01-10,6610.00,1099.02,12,12,Open,1,95,19,8
285,Discover Iceland,פלאי איסלנד,Explore the wonders of Iceland. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-04-10,2026-04-27,5290.00,1180.72,24,2,Last Places,2,44,11,8
286,Discover Russia,רוסיה – מסע חלומות,Explore the wonders of Russia. An unforgettable journey awaits.,מסע היסטורי מעמיק בין ערים עתיקות ואתרי מורשת עולמית.,,2026-11-19,2026-12-07,5210.00,809.40,18,6,Guaranteed,2,78,6,8
287,Discover Norway,נורבגיה המרתקת,Explore the wonders of Norway. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-05-14,2026-05-22,3010.00,569.76,24,15,Guaranteed,1,63,10,8
288,Discover Guatemala,מסע אל מעמקי גואטמלה,Explore the wonders of Guatemala. An unforgettable journey awaits.,"מסע אל הטבע הצפון-אמריקאי: בין יערות ירוקים, אגמים צלולים והרים מושלגים.",,2026-09-15,2026-09-26,3980.00,607.24,15,9,Guaranteed,2,81,20,9
289,Discover Belgium,סיור מעמיק בבלגיה,Explore the wonders of Belgium. An unforgettable journey awaits.,"מסע תרבותי מרתק בין ארמונות מפוארים, כנסיות גותיות ומוזיאונים עשירים.",,2026-05-28,2026-06-04,13140.00,2480.21,18,12,Last Places,1,115,22,9
290,Discover New Zealand,מסע אל מעמקי ניו זילנד,Explore the wonders of New Zealand. An unforgettable journey awaits.,"גלו את ניו זילנד הקסומה: פיורדים כחולים, הרים מושלגים וגייזרים מפעפעים.",,2027-03-17,2027-03-30,13550.00,2116.02,30,22,Open,1,34,8,9
291,Discover Azerbaijan,אוצרות אזרבייג'ן,Explore the wonders of Azerbaijan. An unforgettable journey awaits.,"מסע מעמיק אל הלב, הרוח, הטעמים והצבעים של תת-היבשת המרתקת.",,2026-05-09,2026-05-31,3240.00,758.42,30,16,Last Places,3,97,19,9
292,Discover Cambodia,קמבודיה: טבע ותרבות,Explore the wonders of Cambodia. An unforgettable journey awaits.,"מסע צבעוני בלב המזרח הקסום, בין טרסות אורז, כפרים מסורתיים ונופים עוצרי נשימה.",,2027-04-20,2027-05-17,2710.00,542.57,24,18,Open,3,11,13,9
293,Discover Senegal,סנגל: טבע ותרבות,Explore the wonders of Senegal. An unforgettable journey awaits.,"גלו את קסם המדבר האפריקאי, דיונות זהב אינסופיות ושקיעות עוצרות נשימה.",,2026-03-18,2026-03-24,10670.00,1684.12,25,13,Guaranteed,3,28,7,9
295,Discover Wales,מסע אל מעמקי וויילס,Explore the wonders of Wales. An unforgettable journey awaits.,"גלו את קסמה של היבשת העתיקה: אדריכלות מרהיבה, אמנות מופתית וקולינריה מעודנת.",,2026-03-29,2026-04-21,14040.00,2924.08,12,1,Last Places,3,54,5,9
